Seleção,1º Grupo,2º Grupo,3º Grupo,4º Grupo,Top 32,Oitavas,Quartas,Semi,Final,Campeão
França,"58,3%","26,3%","12,0%","3,4%","94,6%","73,0%","52,6%","34,2%","22,6%","14,3%"
Inglaterra,"64,8%","23,9%","8,6%","2,8%","95,9%","72,3%","50,9%","32,3%","21,2%","13,3%"
Espanha,"61,2%","27,7%","8,9%","2,2%","96,3%","65,4%","44,7%","30,8%","19,7%","11,1%"
Brasil,"61,2%","26,1%","10,3%","2,4%","96,0%","63,6%","42,9%","28,9%","15,7%","9,1%"
Argentina,"60,2%","25,0%","11,1%","3,8%","94,4%","59,4%","41,6%","27,4%","16,6%","9,0%"
Portugal,"51,7%","29,0%","14,0%","5,3%","92,0%","62,0%","39,3%","22,7%","12,6%","6,2%"
Alemanha,"53,2%","29,2%","13,5%","4,1%","93,5%","59,6%","36,7%","19,3%","9,7%","5,0%"
Holanda,"45,2%","29,0%","18,0%","7,9%","88,4%","52,0%","29,4%","17,6%","8,4%","4,3%"
Bélgica,"66,2%","21,9%","8,7%","3,2%","95,5%","62,5%","37,5%","18,2%","9,2%","4,0%"
Suíça,"53,5%","28,2%","14,6%","3,7%","93,8%","58,6%","28,0%","13,5%","5,7%","2,3%"
Uruguai,"29,3%","42,8%","20,5%","7,4%","87,2%","43,5%","23,8%","12,3%","5,4%","2,2%"
México,"46,3%","30,1%","17,7%","5,9%","90,6%","53,6%","25,8%","10,9%","4,6%","1,9%"
Colômbia,"31,1%","35,1%","22,8%","11,1%","83,1%","45,9%","23,4%","11,2%","4,9%","1,9%"
Senegal,"22,3%","34,6%","29,7%","13,3%","78,1%","45,5%","19,4%","8,4%","3,9%","1,7%"
Turquia,"30,4%","26,3%","23,2%","20,1%","74,0%","44,3%","22,5%","9,5%","4,0%","1,5%"
Croácia,"22,3%","39,1%","25,1%","13,4%","78,9%","42,0%","19,4%","8,8%","3,8%","1,4%"
Equador,"30,9%","36,7%","23,4%","9,1%","85,1%","43,3%","20,5%","8,3%","3,3%","1,3%"
Japão,"27,3%","30,6%","27,0%","15,1%","77,7%","37,4%","16,8%","8,1%","3,1%","1,3%"
Marrocos,"24,6%","38,9%","26,9%","9,6%","83,1%","37,9%","15,3%","7,0%","2,5%","0,9%"
Estados Unidos,"25,1%","25,3%","25,1%","24,5%","68,6%","38,7%","18,3%","7,2%","2,7%","0,9%"
Paraguai,"24,3%","25,0%","25,4%","25,2%","67,6%","37,9%","17,6%","6,8%","2,6%","0,9%"
Noruega,"16,7%","30,1%","35,1%","18,1%","70,8%","37,3%","14,4%","5,5%","2,2%","0,9%"
Suécia,"22,5%","28,7%","30,2%","18,6%","72,6%","32,4%","13,5%","6,0%","2,1%","0,8%"
Coreia do Sul,"31,4%","33,2%","25,3%","10,1%","83,7%","43,3%","18,1%","6,4%","2,2%","0,8%"
Áustria,"19,4%","32,7%","30,2%","17,7%","72,9%","28,0%","12,8%","5,3%","1,9%","0,6%"
Austrália,"20,1%","23,4%","26,3%","30,2%","61,9%","32,5%","14,1%","5,1%","1,8%","0,5%"
Argélia,"16,4%","30,1%","32,7%","20,8%","68,5%","24,5%","10,5%","4,0%","1,3%","0,4%"
Bósnia e Herzegovina,"23,3%","33,1%","31,8%","11,8%","79,5%","34,3%","11,6%","3,5%","0,9%","0,2%"
Tcheca,"19,4%","28,4%","34,9%","17,3%","72,2%","31,0%","10,7%","3,0%","0,8%","0,2%"
RD do Congo,"12,7%","23,8%","35,9%","27,5%","59,8%","22,3%","7,9%","2,6%","0,8%","0,2%"
Canadá,"21,3%","31,9%","33,8%","13,0%","77,4%","32,0%","10,4%","3,0%","0,7%","0,2%"
Escócia,"12,4%","27,6%","40,5%","19,5%","66,7%","22,7%","7,2%","2,4%","0,6%","0,2%"
Costa do Marfim,"13,3%","25,4%","39,1%","22,3%","64,4%","23,2%","7,4%","2,0%","0,5%","0,1%"
Gana,"8,7%","22,8%","36,3%","32,2%","53,3%","19,9%","6,4%","2,0%","0,5%","0,1%"
Arábia Saudita,"7,3%","20,6%","42,9%","29,2%","53,5%","14,7%","4,7%","1,3%","0,3%","0,1%"
Egito,"14,6%","31,0%","30,2%","24,2%","65,2%","20,5%","5,7%","1,3%","0,3%","0,1%"
Irã,"12,8%","28,7%","31,4%","27,1%","61,5%","18,1%","4,6%","1,0%","0,2%","0,0%"
Panamá,"4,3%","14,2%","30,0%","51,6%","34,5%","9,8%","2,4%","0,6%","0,1%","0,0%"
Tunísia,"5,1%","11,7%","24,8%","58,5%","30,9%","7,7%","1,8%","0,4%","0,1%","0,0%"
Uzbequistão,"4,5%","12,1%","27,3%","56,1%","31,7%","7,6%","1,8%","0,4%","0,1%","0,0%"
Jordânia,"4,0%","12,2%","26,1%","57,7%","30,2%","6,1%","1,5%","0,3%","0,1%","0,0%"
Iraque,"2,7%","9,0%","23,2%","65,2%","23,4%","6,4%","1,3%","0,2%","0,0%","0,0%"
Nova Zelândia,"6,4%","18,5%","29,6%","45,5%","41,8%","8,8%","1,6%","0,3%","0,0%","0,0%"
Cabo Verde,"2,2%","9,0%","27,6%","61,1%","24,5%","4,1%","0,8%","0,1%","0,0%","0,0%"
Curaçau,"2,7%","8,7%","24,0%","64,6%","23,6%","4,3%","0,7%","0,1%","0,0%","0,0%"
África do Sul,"2,9%","8,4%","22,1%","66,7%","22,8%","4,6%","0,7%","0,1%","0,0%","0,0%"
Haiti,"1,8%","7,4%","22,3%","68,5%","19,7%","2,9%","0,4%","0,1%","0,0%","0,0%"
Catar,"1,9%","6,8%","19,8%","71,5%","18,4%","2,5%","0,3%","0,0%","0,0%","0,0%"
